abell_num,ra,dec
910,150.75,67.15
911,150.1,-15.38333333
912,150.3,-0.1
913,150.65,20.46666667
914,152.1,71.23333333
915,151.45,50.91666667
916,150.975,-19.38333333
917,151.95,62.5
918,152.625,73.73333333
919,151.25,-0.7
920,151.825,55.26666667
921,151.375,7.416666667
922,152.6,71.01666667
923,151.625,25.9
924,151.75,35.65
925,151.7,27.11666667
926,151.7,21.68333333
927,152.05,50.31666667
928,151.725,11.5
929,151.975,38
930,151.725,-5.633333333
931,151.7,-13.41666667
932,152.025,19.58333333
933,151.925,0.516666667
934,152.15,17.25
935,152.65,55.98333333
936,152.325,29.55
937,152.225,13.96666667
938,152.35,18.4
939,152.2,-11.31666667
940,152.275,-16.63333333
941,152.425,3.683333333
942,152.85,19.28333333
943,153.05,33.61666667
944,152.775,-2.033333333
945,153.925,69.08333333
946,153.125,23.85
947,153.8,63.06666667
948,154.25,72.3
949,153.1,6.416666667
950,153.675,49.81666667
951,153.475,34.71666667
952,153.425,19.76666667
953,153.275,-15.95
954,153.425,-0.133333333
955,153.225,-24.45
956,153.85,47.16666667
957,153.5,-0.916666667
958,154.05,41
959,154.375,59.55
960,154.7,66.21666667
961,154.125,33.61666667
962,154.7,63.46666667
963,154.3,39.01666667
964,154.15,24.8
965,154.65,49.88333333
966,154.05,-25.38333333
967,154.6,43.43333333
968,155.3,68.26666667
969,154.625,30.36666667
970,154.4,-10.7
971,154.95,40.96666667
972,155,39.55
973,154.85,8.066666667
974,154.925,14.05
975,155.675,64.63333333
976,154.85,-13.91666667
977,155.225,33.23333333
978,155.125,-6.516666667
979,155.1,-7.883333333
980,155.6,50.11666667
981,156.1,68.11666667
982,155.475,34.63333333
983,155.875,59.81666667
984,155.35,12.2
985,155.75,52.05
986,155.4,14.13333333
987,155.425,6.4
988,155.675,32.31666667
989,155.5,9.2
990,155.875,49.16666667
991,155.6,18.88333333
992,155.625,20.5
993,155.475,-4.95
994,155.7,19.33333333
995,155.9,37.28333333
996,155.725,15.15
997,155.975,37.51666667
998,156.575,67.96666667
999,155.85,12.85
0,0,0
1000,156.225,50.18333333
1001,155.8,-6.6
1002,156.275,49.86666667
1003,156.275,47.8
1004,156.375,51.06666667
1005,156.875,68.23333333
1006,156.9,67.05
1007,156.375,32.93333333
1008,156.175,-5.35
1009,156.225,-5.783333333
1010,156.55,39.06666667
1011,156.375,12.26666667
1012,156.525,31.28333333
1013,156.475,-6.216666667
1014,157.25,65.45
1015,156.95,34.55
1016,156.75,10.98333333
1017,157.525,65.13333333
1018,156.975,17.56666667
1019,157.1,30.81666667
1020,156.95,10.41666667
1021,157.175,37.66666667
1022,157.075,9.683333333
1023,157,-6.75
1024,157.075,3.766666667
1025,157.9,62.85
1026,157.525,40.08333333
1027,157.725,53.4
1028,157.65,41.13333333
1029,158.85,77.31666667
1030,157.65,31
1031,157.775,38.73333333
1032,157.575,4.016666667
1033,157.9,35.08333333
1034,157.825,18.71666667
1035,158.025,40.21666667
1036,158.025,31.86666667
1037,158.925,68.76666667
1038,158.25,2.25
1039,158.2,-4.783333333
1040,158.6,45.46666667
1041,158.225,-8.883333333
1042,158.525,11.78333333
1043,158.6,16.26666667
1044,158.55,5.65
1045,158.75,30.68333333
1046,159.4,67.95
1047,158.7,4.4
1048,159.025,43.93333333
1049,159.65,67.73333333
1050,159.225,44.8
1051,159.25,46.2
1052,159.1,28.05
1053,159.175,30.75
1054,159.325,42.61666667
1055,159.35,37.15
1056,159.475,41.8
1057,159.3,12.4
1058,159.45,34.36666667
1059,159.3,-5.983333333
1060,159.225,-27.53333333
1061,160.2,67.2
1062,159.675,15.86666667
1063,159.7,18.65
1064,159.7,1.266666667
1065,160.25,56.88333333
1066,159.85,5.166666667
1067,160.15,40.23333333
1068,160.2,39.95
1069,159.975,-8.616666667
1070,161.675,78.13333333
1071,160.65,43.08333333
1072,160.85,57.4
1073,160.6,36.63333333
1074,160.825,46.63333333
1075,160.625,-9.733333333
1076,161.275,58.16666667
1077,161.175,46.5
1078,160.9,0.633333333
1079,160.85,-7.383333333
1080,161,1.083333333
1081,161.2,35.56666667
1082,161.175,32.36666667
1083,161.55,59.65
1084,161.15,-7.083333333
1085,161.325,20.26666667
1086,161.175,-16.5
1087,161.55,43.9
1088,161.175,-19.48333333
1089,161.6,18.63333333
1090,161.425,-18.33333333
1091,161.5,-17
1092,161.6,1.35
1093,161.725,9.066666667
1094,161.875,27.51666667
1095,161.875,15.21666667
1096,162.025,28.05
1097,162.125,31.46666667
1098,161.975,-3.933333333
1099,162.225,34.96666667
1100,162.225,22.23333333
1101,162.425,44.35
1102,162.225,7.166666667
1103,162.275,13.43333333
1104,162.175,-17.15
1105,162.3,9.433333333
1106,162.575,43.98333333
1107,162.375,3.633333333
1108,162.475,16.21666667
1109,162.525,17.75
1110,162.9,42.38333333
1111,162.65,-2.566666667
1112,163.075,55.55
1113,162.75,8.633333333
1114,162.85,20.15
1115,162.875,9.033333333
1116,163.025,12.21666667
1117,163.25,39.73333333
1118,163.3,37.55
1119,163.175,10.7
1120,163.325,30.8
1121,163.2,9.016666667
1122,163.375,37.9
1123,164.175,75.51666667
1124,164.025,71.75
1125,163.45,10.23333333
1126,163.5,16.85
1127,163.525,14.66666667
1128,163.55,9.016666667
1129,163.625,11.81666667
1130,163.675,-10.66666667
1131,163.9,10.98333333
1132,164.575,56.78333333
1133,164.525,49.85
1134,164.275,-2.133333333
1135,164.525,41.05
1136,164.375,8.633333333
1137,164.4,9.616666667
1138,164.675,32.98333333
1139,164.525,1.5
1140,164.7,33.93333333
1141,164.875,12.23333333
1142,165.225,10.55
1143,165.475,50.35
1144,165.6,58.76666667
1145,165.375,16.73333333
1146,165.325,-22.71666667
1147,165.575,12
1148,165.625,-1.05
1149,165.75,7.633333333
1150,166.575,73.7
1151,166.1,35.95
1152,166,12.55
1153,165.975,1.333333333
1154,166.225,49.83333333
1155,166.15,35.2
1156,166.25,47.41666667
1157,166.125,13.63333333
1158,166.2,22.23333333
1159,166.375,12.55
1160,166.3,-18.95
1161,166.375,-22.1
1162,166.575,3.95
1163,166.5,-21.53333333
1164,166.625,2.066666667
1165,166.55,-24.71666667
1166,167.275,68.75
1167,167.05,48.88333333
1168,166.85,15.91666667
1169,167.025,43.95
1170,166.875,8.016666667
1171,166.875,2.95
1172,167,-7.15
1173,167.3,41.58333333
1174,167.35,43.28333333
1175,167.3,33.18333333
1176,167.25,6.633333333
1177,167.375,21.7
